110045000180.0;—18х45;ГОСТ 103-2006;6.359
110045000200.0;—20х45;ГОСТ 103-2006;7.065
110045000220.0;—22х45;ГОСТ 103-2006;7.772
110045000250.0;—25х45;ГОСТ 103-2006;8.831
110045000280.0;—28х45;ГОСТ 103-2006;9.891
110045000300.0;—30х45;ГОСТ 103-2006;10.598
110045000320.0;—32х45;ГОСТ 103-2006;11.304
110045000360.0;—36х45;ГОСТ 103-2006;12.717
110050000040.0;—4х50;ГОСТ 103-2006;1.57
110050000050.0;—5х50;ГОСТ 103-2006;1.963
110050000060.0;—6х50;ГОСТ 103-2006;2.355
110050000070.0;—7х50;ГОСТ 103-2006;2.748
110050000080.0;—8х50;ГОСТ 103-2006;3.14
110050000090.0;—9х50;ГОСТ 103-2006;3.533
110050000100.0;—10х50;ГОСТ 103-2006;3.925
110050000110.0;—11х50;ГОСТ 103-2006;4.318
110050000120.0;—12х50;ГОСТ 103-2006;4.71
110050000140.0;—14х50;ГОСТ 103-2006;5.495
110050000150.0;—15х50;ГОСТ 103-2006;5.888
110050000160.0;—16х50;ГОСТ 103-2006;6.28
110050000180.0;—18х50;ГОСТ 103-2006;7.065
110050000200.0;—20х50;ГОСТ 103-2006;7.85
110050000220.0;—22х50;ГОСТ 103-2006;8.635
110050000250.0;—25х50;ГОСТ 103-2006;9.813
110050000280.0;—28х50;ГОСТ 103-2006;10.99
110050000300.0;—30х50;ГОСТ 103-2006;11.775
110050000320.0;—32х50;ГОСТ 103-2006;12.56
110050000360.0;—36х50;ГОСТ 103-2006;14.13
110055000050.0;—5х55;ГОСТ 103-2006;2.159
110055000060.0;—6х55;ГОСТ 103-2006;2.591
110055000070.0;—7х55;ГОСТ 103-2006;3.022
110055000080.0;—8х55;ГОСТ 103-2006;3.454
110055000090.0;—9х55;ГОСТ 103-2006;3.886
110055000100.0;—10х55;ГОСТ 103-2006;4.318
110055000110.0;—11х55;ГОСТ 103-2006;4.749
110055000120.0;—12х55;ГОСТ 103-2006;5.181
110055000140.0;—14х55;ГОСТ 103-2006;6.045
110055000160.0;—16х55;ГОСТ 103-2006;6.908
110055000180.0;—18х55;ГОСТ 103-2006;7.772
110055000200.0;—20х55;ГОСТ 103-2006;8.635
110055000220.0;—22х55;ГОСТ 103-2006;9.499
110055000250.0;—25х55;ГОСТ 103-2006;10.794
110055000280.0;—28х55;ГОСТ 103-2006;12.089
110055000300.0;—30х55;ГОСТ 103-2006;12.953
110055000320.0;—32х55;ГОСТ 103-2006;13.816
110055000360.0;—36х55;ГОСТ 103-2006;15.543
110060000050.0;—5х60;ГОСТ 103-2006;2.355
110060000060.0;—6х60;ГОСТ 103-2006;2.826
110060000070.0;—7х60;ГОСТ 103-2006;3.297
110060000080.0;—8х60;ГОСТ 103-2006;3.768
110060000090.0;—9х60;ГОСТ 103-2006;4.239
110060000100.0;—10х60;ГОСТ 103-2006;4.71
110060000110.0;—11х60;ГОСТ 103-2006;5.181
110060000120.0;—12х60;ГОСТ 103-2006;5.652
110060000140.0;—14х60;ГОСТ 103-2006;6.594
110060000150.0;—15х60;ГОСТ 103-2006;7.065
110060000160.0;—16х60;ГОСТ 103-2006;7.536
110060000180.0;—18х60;ГОСТ 103-2006;8.478
110060000200.0;—20х60;ГОСТ 103-2006;9.42
